year,site_type,gross_internal_floor_area_m2,site_heated_volume_m3,not_functionally_suitable_occupied_floor_area_pct,gas_consumed_kwh,water_volume_including_borehole_m3,steam_consumed_kwh,hot_water_consumed_kwh,led_lighting_coverage_pct,oil_led_heating_sources_no,overheating_occurrences_triggering_a_risk_assessment_no,flood_occurrences_triggering_a_risk_assessment_no,total_backlog_cost_gbp,age_vulnerability_score,latitude,longitude,not_functionally_suitable_occupied_floor_area_pct_missing,gas_consumed_kwh_missing,water_volume_including_borehole_m3_missing,steam_consumed_kwh_missing,hot_water_consumed_kwh_missing,led_lighting_coverage_pct_missing,oil_led_heating_sources_no_missing,overheating_occurrences_triggering_a_risk_assessment_no_missing,gross_internal_floor_area_m2_missing,site_heated_volume_m3_missing,log_backlog_cost
2021_22,Non inpatient,774.0,1936.0,0.0,162915.0,345.0,0.0,0.0,0.0,0.0,0.0,0,677282.0,60.0,51.509,-0.3713,0,0,0,0,0,0,0,0,0,0,13.425844485227577
2021_22,Non inpatient,838.0,2235.0,0.0,121787.0,446.0,0.0,0.0,30.0,0.0,0.0,0,737976.0,80.0,51.5774,-0.33615,0,0,0,0,0,0,0,0,0,0,13.511667937785308
2021_22,Non inpatient,1389.0,3454.0,0.0,43127.0,323.0,0.0,0.0,30.0,0.0,1.0,0,1241068.0,60.0,51.51048333333333,-0.2657166666666666,0,0,0,0,0,0,0,0,0,0,14.031483662963424
2021_22,Other Reportable Site,865.0,2677.0,0.0,246836.0,380.0,0.0,0.0,30.0,0.0,0.0,0,799399.0,55.099999999999994,51.51048333333333,-0.2657166666666666,0,0,0,0,0,0,0,0,0,0,13.59161672525936
2021_22,Mental Health (including Specialist services),10852.0,30566.0,0.0,215956.0,10547.0,0.0,0.0,62.0,0.0,6.0,1,168270.0,36.0,51.6009875,0.7213875000000001,0,0,0,0,0,0,0,0,0,0,12.03333105398281
2021_22,Mental Health (including Specialist services),6537.0,18630.0,0.0,2519457.0,13592.0,8099.0,0.0,0.0,0.0,2.0,0,1985240.0,53.0,51.560525,0.452375,0,0,0,0,0,0,0,0,0,0,14.501250875313104
2021_22,Mixed service hospital,5885.0,17069.0,0.0,1027293.0,9442.0,0.0,0.0,40.0,0.0,28.0,0,848458.0,66.79,51.4959,0.343575,0,0,0,0,0,0,0,0,0,0,13.651177041923237
2021_22,Mental Health (including Specialist services),1314.0,3712.0,0.0,320151.0,313.0,0.0,0.0,29.0,0.0,0.0,0,630.0,40.0,51.6047,0.4077,0,0,0,0,0,0,0,0,0,0,6.447305862541213
2021_22,Learning Disabilities,655.0,1506.0,0.0,184265.0,1885.0,0.0,0.0,35.0,0.0,0.0,0,66748.0,44.0,51.6047,0.4077,0,0,0,0,0,0,0,0,0,0,11.108694594876868
2021_22,Mental Health (including Specialist services),4342.0,13523.0,0.0,2026400.0,2396.0,0.0,0.0,7.0,0.0,2.0,0,22916.0,14.2,51.76435714285714,0.4079,0,0,0,0,0,0,0,0,0,0,10.039634272209469
2021_22,Non inpatient,1862.0,4282.0,0.0,278721.0,449.0,0.0,0.0,0.0,0.0,0.0,0,988518.0,80.0,51.707462500000005,0.4896375,0,0,0,0,0,0,0,0,0,0,13.803963142450069
2021_22,Mental Health (including Specialist services),456.0,1140.0,0.0,120421.0,805.0,0.0,0.0,0.0,0.0,1.0,0,107510.0,91.2,51.92355,0.92045,0,0,0,0,0,0,0,0,0,0,11.585348446896345
2021_22,Non inpatient,920.0,2116.0,0.0,146331.0,192.0,0.0,0.0,0.0,0.0,0.0,0,131192.0,72.0,51.47605,0.33135,0,0,0,0,0,0,0,0,0,0,11.784424800410232
2021_22,Non inpatient,851.0,1957.0,0.0,99062.0,1288.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10.0,51.6213,0.3056,0,0,0,0,0,0,0,0,0,0,0.0
2021_22,Non inpatient,1922.0,4420.0,0.0,102795.0,204.0,0.0,0.0,0.0,0.0,0.0,0,431351.0,40.0,51.92355,0.92045,0,0,0,0,0,0,0,0,0,0,12.97467974109998
2021_22,Mental Health (including Specialist services),2812.0,7429.0,0.0,325524.0,1997.0,0.0,0.0,0.0,0.0,0.0,0,9245.0,20.0,51.92355,0.92045,0,0,0,0,0,0,0,0,0,0,9.13194630454817
2021_22,Mental Health (including Specialist services),3121.0,8208.0,0.0,717507.0,2200.0,0.0,0.0,0.0,0.0,0.0,0,700481.0,38.0,51.92355,0.92045,0,0,0,0,0,0,0,0,0,0,13.459523948497575
2021_22,Non inpatient,865.0,1989.0,0.0,81686.0,153.0,0.0,0.0,100.0,0.0,0.0,2,144512.0,40.0,51.5763,0.4217,0,0,0,0,0,0,0,0,0,0,11.881124747885904
