site_code,site_name,post_code,trust_code,gross_internal_floor_area_m2,site_heated_volume_m3,not_functionally_suitable_occupied_floor_area_pct,gas_consumed_kwh,water_volume_including_borehole_m3,steam_consumed_kwh,hot_water_consumed_kwh,led_lighting_coverage_pct,oil_led_heating_sources_no,overheating_occurrences_triggering_a_risk_assessment_no,flood_occurrences_triggering_a_risk_assessment_no,total_backlog_cost_gbp,age_vulnerability_score,latitude,longitude,not_functionally_suitable_occupied_floor_area_pct_missing,gas_consumed_kwh_missing,water_volume_including_borehole_m3_missing,steam_consumed_kwh_missing,hot_water_consumed_kwh_missing,led_lighting_coverage_pct_missing,oil_led_heating_sources_no_missing,overheating_occurrences_triggering_a_risk_assessment_no_missing,gross_internal_floor_area_m2_missing,site_heated_volume_m3_missing,site_type_Community hospital (with inpatient beds),site_type_General acute hospital,site_type_Learning Disabilities,site_type_Mental Health (including Specialist services),site_type_Mental Health and Learning Disabilities,site_type_Mixed service hospital,site_type_Non inpatient,site_type_Other Reportable Site,site_type_Other inpatient,site_type_Specialist hospital (acute only),site_type_Support Facility,site_type_Unoccupied,year_2021_22,year_22_23,year_23_24,year_24_25
R1AAG,MOOR STREET CLINIC,WR1 3DB,R1A,826.0,1829.0,0.0,92850.0,1.0,0.0,0.0,20.0,0.0,0.0,0,31280.0,70.0,52.1894,-2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
R1AAH,EVESHAM MEDICAL CENTRE,WR11 4BS,R1A,640.0,1487.0,0.0,53226.0,274.0,0.0,0.0,25.0,0.0,0.0,0,,10.0,52.10796153846154,-1.9201384615384616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
R1AAN,TENBURY COMMUNITY HOSPITAL,WR15 8AF,R1A,2154.0,4676.0,0.0,803803.0,180.0,0.0,0.0,25.0,0.0,0.0,0,285685.0,66.69600000000001,52.30148823529412,-2.549464705882353,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
R1AAV,CROMWELL HOUSE,WR3 8AJ,R1A,436.0,974.0,0.0,84182.0,804.0,0.0,0.0,20.0,0.0,0.0,0,44869.0,20.0,52.2304,-2.1928,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
R1ACG,PRINCESS OF WALES HOSPITAL,B61 0BB,R1A,13330.0,26784.0,2.1,3863605.0,8089.0,0.0,0.0,50.0,0.0,3.0,0,4814751.0,38.410000000000004,52.3427125,-2.07645,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
R1ACW,PERSHORE HOSPITAL,WR10 1PS,R1A,1855.0,4592.0,5.2,229673.0,1146.5,0.0,0.0,25.0,0.0,0.0,0,148050.0,10.0,52.11444545454546,-2.047613636363636,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
R1ACY,OSBORNE COURT,WR14 1JE,R1A,1648.0,3327.0,1.7,656309.0,2025.0,0.0,0.0,12.0,0.0,1.0,0,52650.0,40.0,52.095075,-2.327225,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
R1ADA,ROWAN HOUSE EMI FACILITY & DAY HOSPITAL,WR14 1JE,R1A,645.0,1426.0,1.7,38390.0,276.0,0.0,0.0,20.0,0.0,0.0,0,10960.0,40.0,52.095075,-2.327225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
R1ADC,MALVERN COMMUNITY HOSPITAL,WR14 1EX,R1A,5890.0,8745.0,0.0,854601.0,4931.0,0.0,0.0,20.0,0.0,0.0,0,87515.0,10.0,52.095075,-2.327225,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
R1AHM,WORCESTER CITY INPATIENT UNIT (FORMERLY KNOWN AS TIMBERDINE UNIT),WR5 2DD,R1A,2269.0,5157.0,0.0,1095180.0,3152.0,0.0,0.0,0.0,0.0,0.0,0,517639.0,20.0,52.1651,-2.1974428571428573,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
